annotator,instance,length,scenario,time,label,prediction
0,acl38887,275,s1,20.772,1,0
0,acl32413,360,s1,3.984,1,1
0,acl34975,269,s1,7.561,1,1
0,acl38858,286,s1,9.602,1,1
0,acl31049,277,s1,11.651,1,1
0,acl34783,343,s1,16.472,1,1
0,acl18497,96,s1,8.925,1,1
0,acl40144,154,s1,6.792,1,1
0,acl36571,49,s1,2.921,1,1
0,acl39482,357,s1,33.453,1,1
0,acl39843,225,s1,13.276,1,1
0,acl24462,100,s1,3.945,1,1
0,acl32699,189,s1,10.416,1,1
0,acl38869,387,s1,15.053,1,1
0,acl34659,470,s1,20.788,1,1
0,acl26161,178,s1,5.2,1,1
0,acl26352,210,s1,10.935,1,1
0,acl11660,114,s1,7.776,1,1
0,acl37366,280,s1,6.756,1,1
0,acl27680,186,s1,163.708,1,1
0,acl20768,149,s1,11.581,1,0
0,acl13323,63,s1,16.975,1,1
0,acl15005,134,s1,5.524,1,1
0,acl28888,240,s1,8.87,1,1
0,acl38545,144,s1,17.707,1,1
0,acl38862,131,s1,4.201,1,1
0,acl41184,311,s1,8.604,1,1
0,acl38167,293,s1,33.268,1,0
0,acl40271,88,s1,12.197,1,1
0,acl28299,321,s1,25.258,0,1
0,acl23926,76,s1,13.897,0,1
0,acl22318,80,s1,6.501,0,0
0,acl13134,148,s1,9.85,0,0
0,acl35050,66,s1,3.891,0,1
0,acl36344,118,s1,44.923,0,0
0,acl24211,159,s1,114.01,0,1
0,acl13259,66,s1,40.057,0,1
0,acl27858,278,s1,6.671,0,1
0,acl11822,61,s1,69.474,0,1
0,acl28352,166,s1,9.119,0,1
0,acl35991,198,s1,98.927,0,1
0,acl16434,88,s1,18.472,0,0
0,acl19006,71,s1,10.539,0,0
0,acl22453,90,s1,9.947,0,0
0,acl37306,253,s1,8.718,0,1
0,acl26310,485,s1,39.735,0,0
0,acl24049,122,s1,27.087,0,0
0,acl37823,387,s1,68.128,0,0
0,acl16943,77,s1,5.795,0,0
0,acl22098,122,s1,4.554,1,1
0,acl16143,212,s1,6.368,1,1
0,acl13405,93,s1,6.194,1,1
0,acl31277,194,s1,3.419,1,1
0,acl32789,264,s1,28.759,1,1
0,acl32603,124,s1,9.71,1,1
0,acl30566,170,s1,28.341,1,1
0,acl19728,123,s1,5.782,1,1
0,acl38043,274,s1,9.223,1,1
0,acl33133,61,s1,9.403,1,1
0,acl16112,168,s1,107.116,1,1
0,acl11223,37,s1,6.4,1,1
0,acl33890,116,s1,5.918,1,1
0,acl26277,283,s1,11.487,1,1
0,acl39977,179,s1,124.107,1,1
0,acl12595,72,s1,4.041,1,1
0,acl35305,81,s1,4.276,1,1
0,acl33646,42,s1,21.896,1,1
0,acl37530,253,s1,6.762,1,1
0,acl18834,68,s1,2.803,1,1
0,acl37937,148,s1,6.266,1,1
0,acl21640,169,s1,6.141,1,1
0,acl23420,65,s1,2.291,1,1
0,acl40462,303,s1,5.088,1,1
0,acl35736,277,s1,15.267,1,1
0,acl29585,245,s1,10.16,1,1
0,acl23105,230,s1,60.668,1,1
0,acl16934,197,s1,6.288,1,1
0,acl30674,223,s1,47.118,1,1
0,acl13746,70,s1,5.094,1,1
0,acl32964,88,s1,4.448,1,1
0,acl22803,81,s1,5.228,1,1
0,acl15762,85,s1,3.454,1,1
0,acl17077,87,s1,2.892,1,1
0,acl18961,143,s1,7.198,1,1
0,acl16747,55,s1,3.114,1,1
0,acl31279,184,s1,23.398,1,1
0,acl30852,547,s1,27.662,1,1
0,acl31130,465,s1,5.6,1,1
0,acl16995,82,s1,4.49,1,1
0,acl35215,171,s1,16.73,1,1
0,acl31123,289,s1,13.353,1,1
0,acl23391,137,s1,8.012,1,1
0,acl38239,456,s1,12.891,1,1
0,acl25002,119,s1,6.696,1,1
0,acl39124,212,s1,7.036,1,1
0,acl34865,235,s1,6.65,1,1
0,acl18774,94,s1,72.335,1,1
0,acl16743,92,s1,5.783,1,1
0,acl35677,464,s1,17.847,1,1
0,acl22097,276,s1,7.403,1,1
0,acl16247,92,s1,3.566,1,1
0,acl11229,66,s1,3.838,1,1
0,acl23851,402,s1,17.214,1,1
0,acl19981,316,s1,9.171,1,1
0,acl33469,161,s1,77.658,1,1
0,acl19467,86,s1,6.039,1,1
0,acl35528,275,s1,4.557,1,0
0,acl31289,152,s1,7.142,1,1
0,acl27161,714,s1,17.201,1,1
0,acl40180,107,s1,5.286,1,1
0,acl31314,165,s1,80.529,1,1
0,acl26593,121,s1,7.979,1,1
0,acl25774,311,s1,4.463,1,1
0,acl39360,239,s1,5.941,1,1
0,acl11228,83,s1,5.567,1,1
0,acl25223,64,s1,3.648,1,1
0,acl22716,248,s1,3.55,1,1
0,acl17085,97,s1,4.941,1,1
0,acl40384,539,s1,17.831,1,1
0,acl30168,78,s1,12.768,1,1
0,acl15080,39,s1,3.993,1,1
0,acl19100,43,s1,5.234,1,1
0,acl35859,192,s1,7.071,1,1
0,acl33085,81,s1,3.765,1,1
0,acl31110,179,s1,25.942,1,1
0,acl23931,397,s1,8.575,1,1
0,acl29714,73,s1,7.825,1,1
0,acl35246,305,s1,11.216,1,1
0,acl21274,70,s1,5.14,1,1
0,acl24757,179,s1,6.719,1,1
0,acl28459,143,s1,4.239,1,1
0,acl21916,311,s1,15.739,1,1
0,acl28496,605,s1,20.081,1,1
0,acl33046,113,s1,4.995,1,1
0,acl16132,137,s1,21.938,1,1
0,acl38953,63,s1,3.261,1,1
0,acl22129,128,s1,9.466,1,1
0,acl20715,22,s1,4.672,1,1
0,acl12307,94,s1,12.646,1,1
0,acl35819,202,s1,21.813,1,1
0,acl14402,23,s1,3.236,1,1
0,acl31320,216,s1,36.275,1,1
0,acl30460,222,s1,7.093,1,1
0,acl33319,131,s1,7.555,1,1
0,acl27367,379,s1,12.166,1,1
0,acl25141,320,s1,3.043,1,1
0,acl15840,84,s1,3.386,1,1
0,acl34825,282,s1,22.966,1,1
0,acl29663,88,s1,19.731,1,1
0,acl21650,223,s1,4.384,1,1
0,acl16480,58,s1,3.404,1,1
0,acl14414,26,s1,6.039,1,1
0,acl16493,84,s1,3.543,1,1
0,acl36229,352,s1,15.602,1,1
0,acl25129,114,s1,66.948,1,1
0,acl38651,60,s1,3.326,1,1
0,acl15249,64,s1,29.515,1,1
0,acl11732,86,s1,3.913,1,1
0,acl15252,114,s1,5.165,1,1
0,acl28536,104,s1,3.654,1,1
0,acl16795,112,s1,5.043,1,1
0,acl31007,186,s1,29.276,1,1
0,acl35024,313,s1,13.038,1,1
0,acl21272,90,s1,5.386,1,1
0,acl25329,109,s1,3.889,1,1
0,acl27142,67,s1,4.415,1,1
0,acl35552,231,s1,18.95,1,1
0,acl37184,220,s1,23.602,1,1
0,acl19289,105,s1,2.625,1,1
0,acl32321,181,s1,8.398,1,1
0,acl14393,27,s1,6.128,1,1
0,acl32962,431,s1,22.272,1,1
0,acl34897,145,s1,9.472,1,1
0,acl15245,46,s1,2.899,1,1
0,acl15339,39,s1,8.02,1,1
0,acl38119,118,s1,9.855,1,1
0,acl39847,88,s1,6.461,1,1
0,acl14404,22,s1,2.756,1,1
0,acl31081,89,s1,3.983,1,1
0,acl35140,374,s1,5.181,1,1
0,acl14654,95,s1,14.8,1,0
0,acl13847,129,s1,8.132,1,1
0,acl33665,132,s1,5.916,1,1
0,acl14074,15,s1,1.98,1,1
0,acl29688,237,s1,7.195,1,1
0,acl11453,50,s1,3.332,1,1
0,acl34861,40,s1,2.749,1,1
0,acl38490,224,s1,10.731,1,1
0,acl31360,440,s1,14.098,1,1
0,acl29612,69,s1,8.914,1,1
0,acl16233,69,s1,4.718,1,1
0,acl25717,272,s1,4.346,1,1
0,acl40332,124,s1,17.063,1,1
0,acl34819,156,s1,11.573,1,1
0,acl17078,75,s1,39.86,1,1
0,acl39626,94,s1,10.27,1,1
0,acl29696,111,s1,4.749,1,1
0,acl24536,122,s1,20.091,1,1
0,acl21780,277,s1,11.643,1,1
0,acl18921,43,s1,3.014,1,1
0,acl24897,519,s1,8.841,1,1
0,acl33830,133,s1,4.914,1,1
0,acl40499,133,s1,22.512,1,1
0,acl21024,117,s1,4.879,1,1
0,acl24984,162,s1,7.232,1,1
0,acl23695,92,s1,5.696,1,1
0,acl38905,120,s1,7.674,1,1
0,acl13788,144,s1,19.563,1,1
0,acl32785,104,s1,4.727,1,1
0,acl29382,363,s1,17.316,1,1
0,acl33183,90,s1,9.517,1,1
0,acl30991,97,s1,23.535,1,1
0,acl21685,241,s1,17.127,1,0
0,acl21587,195,s1,7.613,1,1
0,acl38107,515,s1,9.939,1,1
0,acl41072,193,s1,17.839,1,0
0,acl22779,118,s1,4.954,1,1
0,acl36782,347,s1,25.694,1,1
0,acl23564,94,s1,6.368,1,1
0,acl33333,119,s1,6.344,1,1
0,acl21434,526,s1,14.055,1,1
0,acl31206,88,s1,3.51,1,1
0,acl25463,177,s1,5.983,1,1
0,acl34931,191,s1,5.051,1,1
0,acl18878,168,s1,7.013,1,1
0,acl21255,210,s1,7.98,1,1
0,acl15097,66,s1,2.9,1,1
0,acl33318,236,s1,8.195,1,1
0,acl34305,153,s1,6.138,1,1
0,acl15460,43,s1,2.914,1,1
0,acl24924,74,s1,2.244,1,1
0,acl15888,56,s1,4.916,1,1
0,acl15176,119,s1,5.854,1,1
0,acl25720,99,s1,5.412,1,1
0,acl14061,29,s1,2.398,1,1
0,acl21170,42,s1,2.03,1,1
0,acl29309,85,s1,3.845,1,1
0,acl36100,46,s1,3.587,1,1
0,acl33150,45,s1,28.98,1,1
0,acl35564,428,s1,16.586,1,1
0,acl17770,48,s1,2.979,1,1
0,acl14786,33,s1,4.898,1,1
0,acl25886,97,s1,3.343,1,1
0,acl39212,318,s1,10.088,1,1
0,acl13290,91,s1,4.613,1,1
0,acl12698,54,s1,7.792,1,1
0,acl16550,72,s1,3.655,1,1
0,acl15170,93,s1,6.369,1,1
0,acl20897,52,s1,3.029,1,1
0,acl11702,29,s1,7.302,1,1
0,acl15168,54,s1,5.536,1,1
0,acl31870,31,s1,6.516,1,1
0,acl23401,675,s1,30.579,1,1
0,acl11913,80,s1,5.412,1,1
0,acl19002,107,s1,4.36,1,1
0,acl29958,113,s1,7.294,1,1
0,acl23408,177,s1,9.714,1,1
0,acl14179,75,s1,11.888,1,0
0,acl35481,299,s1,18.136,1,1
0,acl11818,90,s1,2.559,1,1
0,acl16014,83,s1,3.198,1,1
0,acl16239,98,s1,5.237,1,1
0,acl12368,64,s1,5.845,1,1
0,acl20846,69,s1,8.281,1,1
0,acl18011,73,s1,3.721,1,1
0,acl14332,12,s1,23.4,1,1
0,acl32945,29,s1,2.556,1,1
0,acl19714,71,s1,4.911,1,1
0,acl18781,271,s1,15.062,1,1
0,acl30505,117,s1,2.083,1,1
0,acl14018,64,s1,4.041,1,1
0,acl35684,222,s1,13.771,1,1
0,acl20083,137,s1,3.53,1,1
0,acl29205,386,s1,10.064,1,1
0,acl40122,145,s1,7.874,1,1
0,acl12457,142,s1,3.149,1,1
0,acl20472,20,s1,2.535,1,1
0,acl20331,32,s1,2.565,1,1
0,acl18795,288,s1,9.913,1,1
0,acl16381,66,s1,62.259,1,1
0,acl28287,79,s1,9.944,1,1
0,acl16259,146,s1,9.123,1,1
0,acl18789,145,s1,2.803,1,1
0,acl13059,52,s1,45.565,1,1
0,acl15120,76,s1,3.968,1,1
0,acl15212,39,s1,6.752,1,1
0,acl20361,67,s1,4.113,1,1
0,acl29930,41,s1,19.404,1,0
0,acl25973,229,s1,11.264,1,1
0,acl20964,30,s1,2.603,1,1
0,acl21389,92,s1,4.875,1,1
0,acl13441,91,s1,4.503,1,1
0,acl11381,166,s1,5.772,1,1
0,acl13348,118,s1,11.698,1,1
0,acl35757,436,s1,25.954,1,1
0,acl20661,29,s1,2.555,1,1
0,acl13984,45,s1,2.695,1,1
0,acl29378,156,s1,5.421,1,1
0,acl14799,44,s1,3.047,1,1
0,acl17501,79,s1,2.818,1,1
0,acl13694,61,s1,5.553,1,1
0,acl39506,59,s1,3.983,1,1
0,acl23101,262,s1,7.639,1,1
0,acl14416,45,s1,4.59,1,1
0,acl16622,55,s1,2.991,1,1
0,acl23587,322,s1,4.013,1,1
0,acl37778,163,s1,15.641,1,1
0,acl31250,467,s1,112.582,1,1
0,acl14618,69,s1,6.692,1,1
0,acl12179,113,s1,3.925,1,1
0,acl15182,89,s1,2.767,1,1
0,acl11787,50,s1,4.28,1,1
0,acl21453,131,s1,4.036,1,1
0,acl14789,82,s1,4.69,1,1
0,acl19219,101,s1,11.956,1,1
0,acl16554,80,s1,5.162,1,1
0,acl21117,67,s1,4.313,1,1
0,acl11675,38,s1,4.08,1,1
0,acl18889,73,s1,3.663,1,1
0,acl11890,47,s1,5.867,1,1
0,acl15186,66,s1,5.272,1,1
0,acl31551,53,s1,3.576,1,1
0,acl14697,45,s1,18.177,1,1
0,acl13154,89,s1,15.781,1,1
0,acl26485,76,s1,4.702,1,1
0,acl32018,80,s1,4.802,1,1
0,acl30692,132,s1,29.071,1,1
0,acl14015,71,s1,4.101,1,1
0,acl31378,311,s1,14.472,1,1
0,acl25208,203,s1,48.185,1,1
0,acl14078,74,s1,33.691,1,1
0,acl23970,644,s1,11.781,1,1
0,acl31534,96,s1,2.887,1,1
0,acl26479,122,s1,5.424,1,1
0,acl26443,98,s1,4.423,1,1
0,acl20585,86,s1,13.269,1,1
0,acl12354,106,s1,5.473,1,1
0,acl30951,343,s1,33.554,1,1
0,acl28716,202,s1,6.26,1,1
0,acl28872,142,s1,9.587,1,1
0,acl11430,63,s1,3.237,1,1
0,acl29604,209,s1,7.373,1,1
0,acl25929,145,s1,8.544,1,1
0,acl20580,47,s1,5.409,1,1
0,acl18691,83,s1,17.435,1,1
0,acl40723,30,s1,20.718,1,1
0,acl16527,92,s1,5.949,1,1
0,acl28220,177,s1,16.004,1,1
0,acl31203,408,s1,3.591,1,1
0,acl19269,67,s1,27.29,1,1
0,acl18891,129,s1,3.413,1,1
0,acl33913,27,s1,8.203,1,1
0,acl32853,79,s1,3.076,1,1
0,acl26765,227,s1,6.907,1,1
0,acl28207,58,s1,58.075,1,1
0,acl19273,57,s1,7.169,1,1
0,acl35614,340,s1,13.476,1,1
0,acl25181,120,s1,10.191,1,1
0,acl32628,34,s1,10.536,1,1
0,acl30961,55,s1,3.307,1,1
0,acl34753,193,s1,7.998,1,1
0,acl19207,183,s1,3.302,1,1
0,acl28254,47,s1,2.756,1,1
0,acl37917,202,s1,7.998,1,1
0,acl28115,42,s1,3.364,1,1
0,acl30522,191,s1,2.858,1,1
0,acl29556,361,s1,33.763,1,1
0,acl28216,154,s1,17.14,1,1
0,acl24761,123,s1,2.989,1,1
0,acl28242,113,s1,15.194,1,1
0,acl22020,84,s1,21.012,1,1
0,acl26335,457,s1,6.326,1,1
0,acl27003,407,s1,15.896,1,1
0,acl37316,211,s1,4.848,1,1
0,acl20176,83,s1,6.547,1,1
0,acl19270,76,s1,3.993,1,1
0,acl40364,93,s1,52.24,1,1
0,acl18318,149,s1,23.024,1,1
0,acl28234,131,s1,5.881,1,1
0,acl11762,66,s1,3.845,1,1
0,acl23509,97,s1,38.242,1,1
0,acl24566,155,s1,2.972,1,1
0,acl26042,180,s1,4.713,1,1
0,acl20737,111,s1,6.788,1,1
0,acl24245,71,s1,5.507,1,1
0,acl15708,83,s1,3.373,1,1
0,acl15657,117,s1,21.607,1,1
0,acl39695,210,s1,10.872,1,1
0,acl20469,155,s1,20.654,1,1
0,acl38093,336,s1,4.056,1,1
0,acl28572,93,s1,13.699,1,1
0,acl37356,37,s1,6.075,1,1
0,acl21000,71,s1,4.522,1,1
0,acl19912,16,s1,2.003,1,1
0,acl19635,94,s1,27.117,1,0
0,acl11751,93,s1,18.197,1,1
0,acl20230,35,s1,12.84,1,1
0,acl17128,99,s1,16.323,1,1
0,acl29699,60,s1,12.374,1,1
0,acl32023,263,s1,4.801,1,1
0,acl26544,195,s1,10.066,1,1
0,acl13427,51,s1,226.757,1,1
0,acl18592,197,s1,13.185,1,1
0,acl25636,247,s1,5.415,1,1
0,acl26039,249,s1,5.209,1,0
0,acl19436,171,s1,3.873,1,1
0,acl12473,22,s1,2.989,1,1
0,acl40735,318,s1,18.193,1,1
0,acl28727,58,s1,3.044,1,1
0,acl21651,135,s1,5.05,1,1
0,acl21795,257,s1,31.126,1,1
0,acl31576,73,s1,5.669,1,1
0,acl37990,166,s1,14.801,1,1
0,acl16033,78,s1,3.59,1,1
0,acl37998,98,s1,15.591,1,1
0,acl11672,126,s1,3.534,1,1
0,acl30572,333,s1,10.862,1,1
0,acl28382,123,s1,5.468,1,1
0,acl18069,43,s1,2.751,1,1
0,acl12775,91,s1,4.55,1,1
0,acl12357,75,s1,10.683,1,1
0,acl31028,171,s1,26.749,1,1
0,acl37190,87,s1,30.857,1,1
0,acl39542,232,s1,4.272,1,1
0,acl36362,85,s1,17.765,1,1
0,acl39706,73,s1,7.482,1,1
0,acl38766,139,s1,19.405,1,1
0,acl27896,192,s1,30.513,1,1
0,acl15764,54,s1,22.429,1,1
0,acl12373,63,s1,5.906,1,1
0,acl21850,189,s1,26.657,1,1
0,acl13543,68,s1,22.166,1,1
0,acl11187,83,s1,22.199,1,1
0,acl25738,195,s1,5.427,1,1
0,acl14669,146,s1,2.685,1,1
0,acl18377,224,s1,14.906,1,1
0,acl26896,118,s1,5.437,1,1
0,acl20261,115,s1,4.996,1,1
0,acl14612,36,s1,2.633,1,1
0,acl11685,23,s1,3.137,1,1
0,acl37760,141,s1,12.746,1,1
0,acl37726,541,s1,10.811,1,1
0,acl39851,148,s1,3.985,1,1
0,acl39975,170,s1,4.734,1,1
0,acl34118,528,s1,13.194,1,1
0,acl41100,153,s1,19.6,1,1
0,acl19388,60,s1,7.378,1,1
0,acl14176,99,s1,7.68,1,1
0,acl35486,225,s1,8.127,1,1
0,acl12761,60,s1,4.576,1,1
0,acl11626,71,s1,26.914,1,1
0,acl20141,64,s1,4.929,1,1
0,acl19172,98,s1,29.305,1,1
0,acl25084,313,s1,22.614,1,1
0,acl34300,211,s1,9.947,1,1
0,acl34803,164,s1,23.829,1,1
0,acl33060,429,s1,15.348,1,1
0,acl32426,413,s1,16.165,1,1
0,acl12257,61,s1,3.226,1,1
0,acl34527,125,s1,4.725,1,1
0,acl28201,54,s1,11.508,1,1
0,acl19210,64,s1,4.377,1,1
0,acl18273,103,s1,6.243,1,1
0,acl16056,40,s1,2.07,1,1
0,acl21530,56,s1,4.328,1,1
0,acl39635,326,s1,43.551,1,1
0,acl30650,118,s1,44.495,1,1
0,acl31059,388,s1,12.542,1,1
0,acl13841,31,s1,2.543,1,1
0,acl17749,53,s1,2.73,1,1
0,acl31796,224,s1,4.988,1,1
0,acl15853,113,s1,8.735,1,1
0,acl28629,283,s1,54.633,1,1
0,acl27249,126,s1,10.406,1,1
0,acl19077,80,s1,34.204,1,1
0,acl19040,72,s1,6.171,1,1
0,acl21802,40,s1,3.203,1,1
0,acl36740,132,s1,8.58,1,1
0,acl24269,63,s1,4.716,1,1
0,acl19779,317,s1,3.723,1,1
0,acl26029,517,s1,18.642,1,1
0,acl16352,51,s1,195.04,1,1
0,acl36573,193,s1,40.795,1,1
0,acl40817,191,s1,9.581,1,1
0,acl12783,68,s1,4.671,1,1
0,acl24240,164,s1,17.147,1,1
0,acl32651,46,s1,10.895,1,1
0,acl32907,77,s1,6.347,1,1
0,acl37252,142,s1,8.469,1,1
0,acl19300,129,s1,18.619,1,1
0,acl40975,92,s1,9.996,1,1
0,acl33480,177,s1,7.531,1,1
0,acl40740,143,s1,4.522,1,1
0,acl32089,260,s1,9.044,1,1
0,acl40193,173,s1,9.651,1,1
0,acl30412,260,s1,16.029,1,1
0,acl27171,386,s1,9.121,1,1
0,acl41071,202,s1,24.6,1,1
0,acl34230,125,s1,15.387,1,1
0,acl28862,314,s1,7.953,1,1
0,acl13422,84,s1,3.433,1,1
0,acl38441,150,s1,14.896,1,1
0,acl26993,300,s1,35.076,1,1
0,acl16565,62,s1,5.146,1,1
0,acl33168,45,s1,55.042,1,1
0,acl33593,150,s1,6.023,1,1
0,acl32097,118,s1,4.698,1,1
0,acl21040,59,s1,18.437,1,1
0,acl39520,265,s1,59.787,1,0
0,acl37587,76,s1,17.229,1,1
0,acl26208,155,s1,5.906,1,1
0,acl26507,276,s1,25.866,1,1
0,acl15681,65,s1,5.852,1,1
0,acl33619,312,s1,39.938,1,1
0,acl26761,332,s1,56.419,1,1
0,acl17883,29,s1,4.582,1,1
0,acl33892,185,s1,49.985,1,0
0,acl22351,131,s1,4.06,1,1
0,acl29046,190,s1,8.922,1,1
0,acl22113,129,s1,7.864,1,1
0,acl24741,378,s1,78.538,1,0
0,acl28238,225,s1,6.326,1,1
0,acl26311,112,s1,8.741,1,1
0,acl31445,59,s1,30.549,1,1
0,acl41142,357,s1,6.997,1,1
0,acl40546,321,s1,12.567,1,1
0,acl36444,243,s1,14.381,1,1
0,acl18363,195,s1,7.096,1,1
0,acl29094,265,s1,31.337,1,1
0,acl33666,57,s1,4.733,1,1
0,acl32130,192,s1,100.836,1,0
0,acl38274,101,s1,36.437,1,1
0,acl36915,231,s1,22.292,1,1
0,acl20812,64,s1,5.259,1,1
0,acl13703,45,s1,30.286,1,1
0,acl24598,61,s1,69.412,1,1
0,acl11448,80,s1,3.375,1,1
0,acl41001,196,s1,3.34,1,1
0,acl26502,79,s1,5.058,1,1
0,acl38950,219,s1,8.994,1,1
0,acl30042,110,s1,6.691,1,1
0,acl28465,303,s1,10.002,1,1
0,acl28091,384,s1,33.924,1,1
0,acl38610,209,s1,11.56,1,1
0,acl32271,93,s1,51.242,1,0
0,acl31720,352,s1,13.344,1,0
0,acl21280,64,s1,12.584,1,1
0,acl30426,124,s1,222.506,1,0
0,acl13539,243,s1,12.464,1,1
